Diagnostic Log - Started at 2025-12-25 16:33:25.020963
Problem: tour750.csv, Size: 750, Symmetric: False
Population: 100, Mutation Rate: 0.1
================================================================================

Gen    50 | SCX_fail:  178 | RCL_fallback:  376 | Mut_infeas:  198 | Feasible_rate: 92.48% | Best: 103995.43
Gen   100 | SCX_fail:  294 | RCL_fallback:  683 | Mut_infeas:  389 | Feasible_rate: 93.17% | Best: 103844.68
Gen   150 | SCX_fail:  344 | RCL_fallback:  940 | Mut_infeas:  596 | Feasible_rate: 93.73% | Best: 103595.82
Gen   200 | SCX_fail:  384 | RCL_fallback: 1178 | Mut_infeas:  794 | Feasible_rate: 94.11% | Best: 103595.82
Gen   250 | SCX_fail:  413 | RCL_fallback: 1387 | Mut_infeas:  974 | Feasible_rate: 94.45% | Best: 103595.82
Gen   300 | SCX_fail:  443 | RCL_fallback: 1592 | Mut_infeas: 1149 | Feasible_rate: 94.69% | Best: 103595.82
Gen   350 | SCX_fail:  476 | RCL_fallback: 1832 | Mut_infeas: 1356 | Feasible_rate: 94.77% | Best: 103582.52
Gen   400 | SCX_fail:  510 | RCL_fallback: 2092 | Mut_infeas: 1582 | Feasible_rate: 94.77% | Best: 103486.07
Gen   450 | SCX_fail:  572 | RCL_fallback: 2346 | Mut_infeas: 1774 | Feasible_rate: 94.79% | Best: 103486.07
Gen   500 | SCX_fail:  637 | RCL_fallback: 2597 | Mut_infeas: 1960 | Feasible_rate: 94.81% | Best: 103486.07
Gen   550 | SCX_fail:  681 | RCL_fallback: 2851 | Mut_infeas: 2170 | Feasible_rate: 94.82% | Best: 103286.54
Gen   600 | SCX_fail:  701 | RCL_fallback: 3069 | Mut_infeas: 2368 | Feasible_rate: 94.88% | Best: 103249.61
Gen   650 | SCX_fail:  920 | RCL_fallback: 3474 | Mut_infeas: 2554 | Feasible_rate: 94.66% | Best: 103221.82
Gen   700 | SCX_fail: 1425 | RCL_fallback: 4133 | Mut_infeas: 2708 | Feasible_rate: 94.10% | Best: 103221.82
Gen   750 | SCX_fail: 1979 | RCL_fallback: 4863 | Mut_infeas: 2884 | Feasible_rate: 93.52% | Best: 103221.82
Gen   800 | SCX_fail: 2517 | RCL_fallback: 5582 | Mut_infeas: 3065 | Feasible_rate: 93.02% | Best: 103221.82
Gen   850 | SCX_fail: 2986 | RCL_fallback: 6240 | Mut_infeas: 3254 | Feasible_rate: 92.66% | Best: 103162.46
Gen   900 | SCX_fail: 3066 | RCL_fallback: 6520 | Mut_infeas: 3454 | Feasible_rate: 92.76% | Best: 103162.46
Gen   950 | SCX_fail: 3106 | RCL_fallback: 6731 | Mut_infeas: 3625 | Feasible_rate: 92.91% | Best: 103162.46
Gen  1000 | SCX_fail: 3142 | RCL_fallback: 6956 | Mut_infeas: 3814 | Feasible_rate: 93.04% | Best: 103162.46
Gen  1050 | SCX_fail: 3175 | RCL_fallback: 7174 | Mut_infeas: 3999 | Feasible_rate: 93.17% | Best: 103162.46
Gen  1100 | SCX_fail: 3200 | RCL_fallback: 7412 | Mut_infeas: 4212 | Feasible_rate: 93.26% | Best: 103162.46
Gen  1150 | SCX_fail: 3222 | RCL_fallback: 7626 | Mut_infeas: 4404 | Feasible_rate: 93.37% | Best: 103162.46
Gen  1200 | SCX_fail: 3387 | RCL_fallback: 8000 | Mut_infeas: 4613 | Feasible_rate: 93.33% | Best: 103162.46
Gen  1250 | SCX_fail: 3546 | RCL_fallback: 8340 | Mut_infeas: 4794 | Feasible_rate: 93.33% | Best: 103162.46
Gen  1300 | SCX_fail: 3637 | RCL_fallback: 8643 | Mut_infeas: 5006 | Feasible_rate: 93.35% | Best: 103162.46
Gen  1350 | SCX_fail: 3731 | RCL_fallback: 8935 | Mut_infeas: 5204 | Feasible_rate: 93.38% | Best: 103162.46
Gen  1400 | SCX_fail: 3799 | RCL_fallback: 9230 | Mut_infeas: 5431 | Feasible_rate: 93.41% | Best: 103162.46
Gen  1450 | SCX_fail: 3905 | RCL_fallback: 9538 | Mut_infeas: 5633 | Feasible_rate: 93.42% | Best: 103157.85
Gen  1500 | SCX_fail: 4019 | RCL_fallback: 9858 | Mut_infeas: 5839 | Feasible_rate: 93.43% | Best: 103139.77
Gen  1550 | SCX_fail: 4146 | RCL_fallback: 10190 | Mut_infeas: 6044 | Feasible_rate: 93.43% | Best: 103139.77
Gen  1600 | SCX_fail: 4258 | RCL_fallback: 10527 | Mut_infeas: 6269 | Feasible_rate: 93.42% | Best: 103139.77
Gen  1650 | SCX_fail: 4362 | RCL_fallback: 10834 | Mut_infeas: 6472 | Feasible_rate: 93.43% | Best: 103139.77
Gen  1700 | SCX_fail: 4462 | RCL_fallback: 11128 | Mut_infeas: 6666 | Feasible_rate: 93.45% | Best: 103139.77
Gen  1750 | SCX_fail: 4579 | RCL_fallback: 11450 | Mut_infeas: 6871 | Feasible_rate: 93.46% | Best: 103139.77
Gen  1800 | SCX_fail: 4670 | RCL_fallback: 11738 | Mut_infeas: 7068 | Feasible_rate: 93.48% | Best: 103116.06
Gen  1850 | SCX_fail: 4744 | RCL_fallback: 12004 | Mut_infeas: 7260 | Feasible_rate: 93.51% | Best: 103116.06
Gen  1900 | SCX_fail: 4825 | RCL_fallback: 12267 | Mut_infeas: 7442 | Feasible_rate: 93.54% | Best: 103116.06
Gen  1950 | SCX_fail: 4910 | RCL_fallback: 12548 | Mut_infeas: 7638 | Feasible_rate: 93.57% | Best: 103116.06
Gen  2000 | SCX_fail: 5045 | RCL_fallback: 12883 | Mut_infeas: 7838 | Feasible_rate: 93.56% | Best: 103116.06
Gen  2050 | SCX_fail: 5194 | RCL_fallback: 13210 | Mut_infeas: 8016 | Feasible_rate: 93.56% | Best: 103116.06
